no,title,average,inst,hall_of_fame,debut,date,initial,r2005,r2006#1,r2006#2,r2007,r2008,r2009,r2010,r2011,r2012,r2013,r2014,r2015,r2016,r2017,r2018,r2019u,r2019,remarks
49,月夜のピエレット,139.308,False,False,ピアニィ・ピンク,1997-05-21,r2005,,,,94.0,172.0,107.0,104.0,92.0,68.0,218.0,169.0,132.0,145.0,130.0,164.0,82.0,216.0,
50,Water Drop,214.231,False,False,CLAMP学園探偵団 O.S.T 1,1997-06-21,r2005,,,,154.0,189.0,198.0,214.0,223.0,217.0,196.0,223.0,238.0,186.0,237.0,250.0,194.0,260.0,
51,ぶくぶく空が…,216.923,False,False,CLAMP学園探偵団 O.S.T 2,1997-10-22,r2005,,,,187.0,199.0,208.0,179.0,223.0,173.0,218.0,223.0,253.0,244.0,237.0,250.0,194.0,226.0,
52,カフェテラスでお茶をどうぞ,169.231,False,False,CLAMP学園探偵団 O.S.T 2,1997-10-22,r2005,,,,85.0,93.0,151.0,155.0,211.0,143.0,112.0,204.0,204.0,190.0,237.0,250.0,93.0,165.0,
53,L'eternite,217.231,False,False,CLAMP学園探偵団 O.S.T 2,1997-10-22,r2005,,,,187.0,212.0,226.0,192.0,198.0,217.0,218.0,194.0,253.0,180.0,237.0,250.0,179.0,260.0,
54,愛だけじゃない,191.462,False,False,CLAMP学園探偵団 O.S.T 2,1997-10-22,r2005,,,,147.0,164.0,164.0,179.0,211.0,217.0,180.0,194.0,209.0,214.0,202.0,192.0,159.0,216.0,
55,日曜日のシエスタ,190.462,False,False,CLAMP学園探偵団 Vocal Collection,1997-12-17,r2005,,,,129.0,208.0,179.0,171.0,169.0,139.0,218.0,164.0,142.0,244.0,237.0,250.0,159.0,226.0,
56,Cheri Cheri,197.000,False,False,CLAMP学園探偵団 Vocal Collection,1997-12-17,r2005,,,,165.0,167.0,166.0,155.0,223.0,217.0,218.0,194.0,204.0,244.0,237.0,192.0,177.0,179.0,
57,Anniversary of Angel,138.231,False,False,Anniversary of Angel,1997-12-17,r2005,,,,54.0,99.0,97.0,98.0,147.0,140.0,117.0,156.0,179.0,167.0,82.0,250.0,83.0,211.0,
58,天使に寄す,194.615,False,False,Anniversary of Angel,1997-12-17,r2005,,,,119.0,170.0,179.0,179.0,211.0,217.0,196.0,164.0,253.0,156.0,176.0,250.0,167.0,260.0,
59,LABYRINTH,119.538,False,False,LABYRINTH,1998-10-21,r2005,,,,59.0,142.0,83.0,171.0,111.0,141.0,74.0,173.0,132.0,131.0,109.0,73.0,,155.0,
60,金いろのひつじ,105.462,False,False,LABYRINTH,1998-10-21,r2005,,,,79.0,95.0,82.0,102.0,123.0,70.0,103.0,90.0,87.0,125.0,169.0,150.0,61.0,96.0,
61,Noblerot I,,True,False,Noblerot,1998-11-21,r2005,,,,,,,,,,,,,,,,,,
62,Halation,170.308,False,False,Noblerot,1998-11-21,r2005,,,,106.0,150.0,123.0,192.0,188.0,204.0,136.0,99.0,253.0,225.0,187.0,221.0,184.0,130.0,
63,乙女の祈り,105.385,False,False,Noblerot,1998-11-21,r2005,,,,57.0,58.0,52.0,85.0,103.0,110.0,92.0,190.0,98.0,128.0,187.0,136.0,24.0,74.0,
64,Rose Moon,93.231,False,False,Noblerot,1998-11-21,r2005,,,,72.0,78.0,102.0,85.0,92.0,77.0,71.0,121.0,162.0,86.0,51.0,133.0,16.0,82.0,
